 Shell#     R/Rsun       M/Msun       Cs               Rho
     76   0.05043042  0.01228134  5.10854847E+02  2.10149562E+00  7.16938725E+00
     77   0.05101051  0.01268166  5.10898760E+02  2.09993359E+00  7.16890259E+00
     78   0.05158776  0.01308769  5.10941345E+02  2.09836782E+00  7.16841599E+00
     79   0.05216220  0.01349937  5.10982585E+02  2.09679856E+00  7.16792750E+00
     80   0.05273386  0.01391665  5.11022462E+02  2.09522603E+00  7.16743720E+00
     81   0.05330276  0.01433947  5.11060962E+02  2.09365045E+00  7.16694516E+00
     82   0.05386896  0.01476776  5.11098071E+02  2.09207203E+00  7.16645142E+00
     83   0.05443247  0.01520149  5.11133774E+02  2.09049093E+00  7.16595605E+00
     84   0.05499334  0.01564059  5.11168062E+02  2.08890735E+00  7.16545910E+00
     85   0.05555161  0.01608501  5.11200921E+02  2.08732143E+00  7.16496062E+00
     86   0.05610733  0.01653472  5.11232342E+02  2.08573333E+00  7.16446064E+00
     87   0.05666053  0.01698965  5.11262316E+02  2.08414318E+00  7.16395921E+00
     88   0.05721125  0.01744978  5.11290833E+02  2.08255110E+00  7.16345637E+00
     89   0.05775955  0.01791505  5.11317886E+02  2.08095721E+00  7.16295216E+00
     90   0.05830547  0.01838543  5.11343467E+02  2.07936162E+00  7.16244660E+00
     91   0.05884906  0.01886089  5.11367569E+02  2.07776442E+00  7.16193972E+00
     92   0.05939035  0.01934137  5.11390185E+02  2.07616570E+00  7.16143155E+00
     93   0.05992940  0.01982686  5.11411310E+02  2.07456555E+00  7.16092212E+00
     94   0.06046625  0.02031732  5.11430939E+02  2.07296402E+00  7.16041144E+00
     95   0.06100096  0.02081272  5.11449066E+02  2.07136119E+00  7.15989954E+00
     96   0.06153356  0.02131302  5.11465686E+02  2.06975712E+00  7.15938644E+00
     97   0.06206410  0.02181822  5.11480796E+02  2.06815186E+00  7.15887216E+00
     98   0.06259263  0.02232827  5.11494390E+02  2.06654545E+00  7.15835669E+00
     99   0.06311921  0.02284315  5.11506465E+02  2.06493794E+00  7.15784007E+00
    100   0.06364386  0.02336285  5.11517017E+02  2.06332936E+00  7.15732230E+00
    101   0.06416664  0.02388735  5.11526044E+02  2.06171974E+00  7.15680340E+00
    102   0.06468760  0.02441661  5.11533540E+02  2.06010911E+00  7.15628336E+00
    103   0.06520678  0.02495064  5.11539504E+02  2.05849748E+00  7.15576219E+00
    104   0.06572423  0.02548941  5.11543933E+02  2.05688487E+00  7.15523991E+00
    105   0.06623999  0.02603290  5.11546823E+02  2.05527130E+00  7.15471652E+00
    106   0.06675410  0.02658111  5.11548171E+02  2.05365678E+00  7.15419201E+00
    107   0.06726661  0.02713402  5.11547976E+02  2.05204130E+00  7.15366640E+00
    108   0.06777757  0.02769163  5.11546234E+02  2.05042488E+00  7.15313968E+00
    109   0.06828701  0.02825392  5.11542942E+02  2.04880750E+00  7.15261185E+00
    110   0.06879498  0.02882088  5.11538098E+02  2.04718918E+00  7.15208291E+00
    111   0.06930152  0.02939251  5.11531699E+02  2.04556988E+00  7.15155286E+00
    112   0.06980667  0.02996881  5.11523743E+02  2.04394962E+00  7.15102170E+00
    113   0.07031048  0.03054978  5.11514227E+02  2.04232837E+00  7.15048942E+00
    114   0.07081299  0.03113539  5.11503148E+02  2.04070612E+00  7.14995602E+00
    115   0.07131423  0.03172567  5.11490504E+02  2.03908286E+00  7.14942149E+00
    116   0.07181424  0.03232060  5.11476292E+02  2.03745855E+00  7.14888583E+00
    117   0.07231308  0.03292019  5.11460508E+02  2.03583319E+00  7.14834903E+00
    118   0.07281077  0.03352444  5.11443151E+02  2.03420674E+00  7.14781108E+00
    119   0.07330735  0.03413334  5.11424217E+02  2.03257918E+00  7.14727198E+00
    120   0.07380286  0.03474692  5.11403703E+02  2.03095049E+00  7.14673172E+00
    121   0.07429735  0.03536516  5.11381606E+02  2.02932062E+00  7.14619028E+00
    122   0.07479084  0.03598808  5.11357923E+02  2.02768956E+00  7.14564766E+00
    123   0.07528339  0.03661569  5.11332650E+02  2.02605727E+00  7.14510384E+00
    124   0.07577501  0.03724799  5.11305783E+02  2.02442372E+00  7.14455883E+00
    125   0.07626575  0.03788498  5.11277320E+02  2.02278886E+00  7.14401259E+00
    126   0.07675565  0.03852669  5.11247257E+02  2.02115266E+00  7.14346513E+00
    127   0.07724473  0.03917313  5.11215590E+02  2.01951508E+00  7.14291643E+00
    128   0.07773305  0.03982429  5.11182314E+02  2.01787609E+00  7.14236647E+00
    129   0.07822062  0.04048021  5.11147426E+02  2.01623563E+00  7.14181525E+00
    130   0.07870749  0.04114088  5.11110921E+02  2.01459368E+00  7.14126275E+00
    131   0.07919369  0.04180633  5.11072795E+02  2.01295017E+00  7.14070895E+00
    132   0.07967925  0.04247658  5.11033044E+02  2.01130508E+00  7.14015385E+00
    133   0.08016421  0.04315163  5.10991662E+02  2.00965835E+00  7.13959741E+00
    134   0.08064861  0.04383151  5.10948646E+02  2.00800993E+00  7.13903964E+00
    135   0.08113246  0.04451623  5.10903989E+02  2.00635978E+00  7.13848051E+00
    136   0.08161582  0.04520582  5.10857687E+02  2.00470784E+00  7.13792000E+00
    137   0.08209870  0.04590030  5.10809734E+02  2.00305408E+00  7.13735811E+00
    138   0.08258115  0.04659968  5.10760126E+02  2.00139842E+00  7.13679481E+00
    139   0.08306319  0.04730400  5.10708859E+02  1.99974082E+00  7.13623010E+00
    140   0.08354486  0.04801326  5.10655920E+02  1.99808123E+00  7.13566394E+00
    141   0.08402618  0.04872751  5.10601301E+02  1.99641961E+00  7.13509633E+00
    142   0.08450720  0.04944675  5.10544996E+02  1.99475590E+00  7.13452724E+00
    143   0.08498793  0.05017103  5.10487000E+02  1.99309004E+00  7.13395666E+00
    144   0.08546842  0.05090036  5.10427305E+02  1.99142197E+00  7.13338456E+00
    145   0.08594869  0.05163477  5.10365905E+02  1.98975163E+00  7.13281093E+00
    146   0.08642878  0.05237429  5.10302794E+02  1.98807897E+00  7.13223575E+00
    147   0.08690870  0.05311896  5.10237964E+02  1.98640392E+00  7.13165900E+00
    148   0.08738851  0.05386879  5.10171408E+02  1.98472643E+00  7.13108064E+00
    149   0.08786821  0.05462383  5.10103119E+02  1.98304641E+00  7.13050068E+00
    150   0.08834785  0.05538411  5.10033085E+02  1.98136383E+00  7.12991907E+00
    151   0.08882746  0.05614966  5.09961290E+02  1.97967863E+00  7.12933581E+00
    152   0.08930706  0.05692051  5.09887725E+02  1.97799074E+00  7.12875086E+00
    153   0.08978669  0.05769670  5.09812381E+02  1.97630009E+00  7.12816420E+00
    154   0.09026637  0.05847827  5.09735251E+02  1.97460662E+00  7.12757582E+00
    155   0.09074614  0.05926525  5.09656326E+02  1.97291026E+00  7.12698569E+00
    156   0.09122602  0.06005768  5.09575597E+02  1.97121094E+00  7.12639378E+00
    157   0.09170604  0.06085560  5.09493055E+02  1.96950859E+00  7.12580006E+00
    158   0.09218624  0.06165906  5.09408691E+02  1.96780313E+00  7.12520453E+00
    159   0.09266664  0.06246808  5.09322495E+02  1.96609449E+00  7.12460714E+00
    160   0.09314727  0.06328272  5.09234458E+02  1.96438260E+00  7.12400787E+00
    161   0.09362816  0.06410302  5.09144570E+02  1.96266738E+00  7.12340670E+00
    162   0.09410935  0.06492902  5.09052820E+02  1.96094875E+00  7.12280361E+00
    163   0.09459085  0.06576077  5.08959198E+02  1.95922664E+00  7.12219856E+00
    164   0.09507271  0.06659832  5.08863694E+02  1.95750097E+00  7.12159152E+00
    165   0.09555495  0.06744171  5.08766295E+02  1.95577166E+00  7.12098247E+00
    166   0.09603759  0.06829099  5.08666991E+02  1.95403863E+00  7.12037139E+00
    167   0.09652068  0.06914621  5.08565770E+02  1.95230180E+00  7.11975823E+00
    168   0.09700423  0.07000742  5.08462620E+02  1.95056107E+00  7.11914298E+00
    169   0.09748829  0.07087468  5.08357529E+02  1.94881638E+00  7.11852560E+00
    170   0.09797287  0.07174803  5.08250484E+02  1.94706762E+00  7.11790607E+00
    171   0.09845802  0.07262754  5.08141473E+02  1.94531472E+00  7.11728434E+00
    172   0.09894375  0.07351326  5.08030483E+02  1.94355759E+00  7.11666040E+00
    173   0.09943011  0.07440524  5.07917499E+02  1.94179613E+00  7.11603421E+00
    174   0.09991711  0.07530355  5.07802509E+02  1.94003026E+00  7.11540574E+00
    175   0.10040479  0.07620824  5.07685498E+02  1.93825988E+00  7.11477495E+00
    176   0.10089319  0.07711937  5.07566451E+02  1.93648490E+00  7.11414181E+00
    177   0.10138233  0.07803702  5.07445355E+02  1.93470522E+00  7.11350629E+00
    178   0.10187224  0.07896123  5.07322193E+02  1.93292074E+00  7.11286835E+00
    179   0.10236296  0.07989207  5.07196951E+02  1.93113138E+00  7.11222796E+00
    180   0.10285452  0.08082962  5.07069613E+02  1.92933702E+00  7.11158509E+00
    181   0.10334694  0.08177394  5.06940162E+02  1.92753756E+00  7.11093969E+00
    182   0.10384027  0.08272510  5.06808582E+02  1.92573291E+00  7.11029173E+00
    183   0.10433452  0.08368316  5.06674856E+02  1.92392296E+00  7.10964118E+00
    184   0.10482974  0.08464821  5.06538967E+02  1.92210759E+00  7.10898799E+00
    185   0.10532596  0.08562032  5.06400897E+02  1.92028671E+00  7.10833213E+00
    186   0.10582321  0.08659955  5.06260628E+02  1.91846019E+00  7.10767356E+00
    187   0.10632153  0.08758599  5.06118142E+02  1.91662794E+00  7.10701223E+00
    188   0.10682094  0.08857972  5.05973420E+02  1.91478983E+00  7.10634812E+00
    189   0.10732149  0.08958081  5.05826442E+02  1.91294574E+00  7.10568116E+00
    190   0.10782320  0.09058935  5.05677188E+02  1.91109557E+00  7.10501133E+00
    191   0.10832611  0.09160542  5.05525639E+02  1.90923919E+00  7.10433859E+00
    192   0.10883025  0.09262911  5.05371774E+02  1.90737647E+00  7.10366288E+00
